Data,Município ,Campanha,Módulo,Transecto,Parcela,Ponto,Tipo de Parcela,Coordenadas UTM (X),Coordenadas UTM (Y),Ordem,Família,Subfamília,Espécie,Tipo Amostragem,Núm. Ind. (Colônias/Encontros),Núm. ID (campo),Instituição para Tombamento,Tombo,OBS,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Kalotermitidae,,Glyptotermes sp. 1,,1,1Aa,MZUSP,,Kalotermitidae dentro de graveto seco caído,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Rhinotermitidae,,Dolichorhinotermes latilabrum,,1,1Ab,MZUSP,,Forrageando no solo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Rhinotermitidae,,Heterotermes tenuis,,1,1Ad,MZUSP,,"Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Rhinotermitidae,,Heterotermes tenuis,,1,3Ac,MZUSP,,Nasutitermes e Apico em galeria de baixo de tronco e o restante em terra abaixo de tronco,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P2*,500,Terrestre,8988935,334438,,Rhinotermitidae,,Heterotermes tenuis,,1,4Aa,MZUSP,,Forrageando no solo,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P5*,3000,Terrestre,8990791,336211,,Termitidae,Nasutitermitinae,Caetetermes taquarussu,,1,4Aa,MZUSP,MZUSP 15155,Em madeira podre,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Nasutitermitinae,Convexitermes convexifrons,,1,1Ba,MZUSP,,Em tronco logo acima do ninho descrito na amostra 1A,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P5*,3000,Terrestre,8990791,336211,,Termitidae,Nasutitermitinae,Nasutitermes gaigei,,1,2Aa,MZUSP,,Dentro de gravetinho caído,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Nasutitermitinae,Nasutitermes guayanae,,1,4Aa,MZUSP,,Em tronco e forrageando no solo abaixo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Termitidae,Nasutitermitinae,Nasutitermes guayanae,,1,1Aa,MZUSP,,Forrageando no solo,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Nasutitermitinae,Nasutitermes guayanae,,1,3Ac,MZUSP,,No solo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Nasutitermitinae,Nasutitermes sp. 01,,1,1Ac,MZUSP,,"Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Nasutitermitinae,Nasutitermes sp. 01,,1,3Ab,MZUSP,,Nasutitermes e Apico em galeria de baixo de tronco e o restante em terra abaixo de tronco,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P2*,500,Terrestre,8988935,334438,,Termitidae,Nasutitermitinae,Nasutitermes sp. 06,,1,1Aa,MZUSP,,Nasutitermes dentro de galho,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Termitidae,Nasutitermitinae,Nasutitermes sp. 06,,1,1Ba,MZUSP,,"Em galeria no tronco e no galho, e dentro do galho",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Termitidae,Nasutitermitinae,Nasutitermes sp. 06,,1,3Ab,MZUSP,,"Ninho de aprox. 40cm de latura bem detonado, com Embira e Nasuti",,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Nasutitermitinae,Triangularitermes triangulariceps,,1,2Aa,MZUSP,,Forrageando no solo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Nasutitermitinae,Velocitermes sp. 2,,1,4Ba,MZUSP,MZUSP 14316,No solo em volta de um tronco vivo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P2*,500,Terrestre,8988935,334438,,Termitidae,Nasutitermitinae,Velocitermes sp. 2,,1,2Ba,MZUSP,MZUSP 14312,Dentro de galho caído e no solo abaixo dele,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P2*,500,Terrestre,8988935,334438,,Termitidae,Syntermitinae,Cornitermes ovatus,,1,1Ba,MZUSP,MZUSP 14627,Forrageando no solo,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Syntermitinae,Cornitermes ovatus,,1,1Ba,MZUSP,MZUSP 14620,"Bicho em galerias difusas no solo, abaixo de árvore",,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Syntermitinae,Cornitermes ovatus,,1,3Aa,MZUSP,MZUSP 14623,No solo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Syntermitinae,Cornitermes pugnax,,1,1Ab,MZUSP,MZUSP 14579,"Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Termitidae,Syntermitinae,Embiratermes neotenicus,,1,3Aa,MZUSP,,"Ninho de aprox. 40cm de latura bem detonado, com Embira e Nasuti",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Syntermitinae,Syntermes molestus,,1,1Aa,MZUSP,MZUSP 14708,"Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes",,,,,,,,,,,,,,
