Check record,Record,Country,State,County,Location,Grid,Trail,Plot,Distance.begining,Side,Transect.length,N.subplots,sampling.protocol,Data(YYYYMMDD),Class,Order,Family,Subfamily,Genus,Taxon,cf,Frequency,LAT,LONG,easting (UTM),northing (UTM),Trophic.group,Observacao.variedade,Observacao,Coletor1,Determinador,Coletor2,Determinador
1,1,Brasil,Amazonas,Manaus,RFAD,RFAD,L4,1500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.95228647,-59.95178575,9673216.09,838902.89,,,,,,,
2,2,Brasil,Amazonas,Manaus,RFAD,RFAD,L4,2500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.9508824,-59.94286579,9673368.78,839895.98,,,,,,,
3,3,Brasil,Amazonas,Manaus,RFAD,RFAD,L4,4500,105,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.94807427,-59.92510844,9673674.18,841873.02,,,,,,,
4,4,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,1500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96120644,-59.95038168,9672228.31,839056.42,,,,,,,
5,5,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,1500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96120644,-59.95038168,9672228.31,839056.42,,,,,,,
6,6,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,2500,5,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.95980237,-59.94154431,9672381.02,840040.33,,,,,,,
7,7,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,3500,155,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.9583983,-59.93262434,9672533.7,841033.43,,,,,,,
8,8,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,3500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.9583983,-59.93262434,9672533.7,841033.43,,,,,,,
9,9,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,3500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.9583983,-59.93262434,9672533.7,841033.43,,,,,,,
10,10,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,1500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97004382,-59.94906021,9671249.7,839200.79,,,,,,,
11,11,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,3500,55,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96723568,-59.93130286,9671555.06,841177.78,,,,,,,
12,12,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,3500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96723568,-59.93130286,9671555.06,841177.78,,,,,,,
13,13,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,3500,180,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96723568,-59.93130286,9671555.06,841177.78,,,,,,,
14,14,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,3500,180,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96723568,-59.93130286,9671555.06,841177.78,,,,,,,
15,15,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,3500,205,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96723568,-59.93130286,9671555.06,841177.78,,,,,,,
16,16,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,3500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.96723568,-59.93130286,9671555.06,841177.78,,,,,,,
17,17,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,1500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97896378,-59.94765614,9670261.91,839354.31,,,,,,,
18,18,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,1500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97896378,-59.94765614,9670261.91,839354.31,,,,,,,
19,19,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,1500,155,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97896378,-59.94765614,9670261.91,839354.31,,,,,,,
20,20,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,1500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97896378,-59.94765614,9670261.91,839354.31,,,,,,,
21,21,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,2500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97755972,-59.93881876,9670414.6,840338.2,,,,,,,
22,22,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,2500,180,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97755972,-59.93881876,9670414.6,840338.2,,,,,,,
23,23,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,3500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97615565,-59.9298988,9670567.26,841331.29,,,,,,,
24,24,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,4500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97483417,-59.92097883,9670710.77,842324.37,,,,,,,
25,25,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,4500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97483417,-59.92097883,9670710.77,842324.37,,,,,,,
