,Data,Municipio,Campanha,Modulo,Transecto,Parcela,Ponto,Tipo_de_Parcela,Coordenadas_UTM_.X.,Coordenadas_UTM_.Y.,Ordem,Familia,Subfamilia,Especie,Tipo_Amostragem,Num._Ind._.Colonias.Encontros.,Num._ID_.campo.,Instituicao_para_Tombamento,Tombo,OBS,X.1,X.2,X.3,X.4,X.5,Especie_orig
1,6/6/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",8,JP,T2,P6,4000,Terrestre,8955206,350943,,Kalotermitidae,,Calcaritermes_rioensis,NA,1,2Aa,MZUSP,,#Interior de madeira seca (tronco caido no ch�o) e ninho no interior do mesmo tronco (na base do tronco, perto da ra�z),,,,,Calcaritermes rioensis
2,12/9/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Kalotermitidae,,Glyptotermes_sp._1,NA,1,1Aa,MZUSP,,#Kalotermitidae dentro de graveto seco ca�do,,,,,,Glyptotermes sp. 1
3,10/6/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",4,IP,T2,P3,1000,Terrestre,8985957,322373,,Kalotermitidae,,Neotermes_sp._1T,NA,1,3Ca,MZUSP,,#Interior de peda�o de tronco (Kalotermitiade).,,,,,,Neotermes sp. 1
4,7/3/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",7,JP,T2,P2,500,Terrestre,8954804,347396,,Kalotermitidae,,Neotermes_sp._1T,NA,1,4Ba,MZUSP,,#Interior e em baixo de casca de tronco grande,,,,,,Neotermes sp. 1
5,17/09/2010,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",1,JI,T1,P5*,3000,Terrestre,8971309,308582,,Kalotermitidae,,Rugitermes_sp._1T,NA,1,1Ba,MZUSP,,#Dentro de graveto,,,,,,Rugitermes sp. 1
6,1/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P4,2000,Terrestre,8989521,336332,,Kalotermitidae,,Rugitermes_sp._2T,NA,1,1Ca,MZUSP,,#Interior de tronco,,,,,,Rugitermes sp. 2
7,21/11/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",6,IP,T2,P4,2000,Terrestre,8986754,321877,,Kalotermitidae,,Rugitermes_sp._2T,NA,1,1Aa,MZUSP,,#Interior de tronco seco carcomido,,,,,,Rugitermes sp. 2
8,19/11/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",6,IB,T2,P5,3000,Terrestre,8990336,336964,,Rhinotermitidae,Coptotermitinae,Coptotermes_testaceus,NA,1,1Ba,MZUSP,,#Ninho crostado no tronco da arvore (+ou- 50 cm de altura),,,,,,Coptotermes testaceus
9,19/11/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",6,IB,T2,P5,3000,Terrestre,8990336,336964,,Rhinotermitidae,Coptotermitinae,Coptotermes_testaceus,NA,1,3Aa,MZUSP,,#Interior de tronco podre ,,,,,,Coptotermes testaceus
10,8/4/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",3,JP,T2,P3,1000,Terrestre,8954868,347940,,Rhinotermitidae,Coptotermitinae,Coptotermes_testaceus,NA,1,2Ca,MZUSP,,#Em gravetos e tronco,,,,,,Coptotermes testaceus
11,9/9/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",5,JP,T2,P4,2000,Terrestre,8954964,348933,,Rhinotermitidae,Coptotermitinae,Coptotermes_testaceus,NA,1,2Aa,MZUSP,,#Interior de tronco ca�do,,,,,,Coptotermes testaceus
12,6/3/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",7,JP,T2,P4,2000,Terrestre,8954964,348933,,Rhinotermitidae,Coptotermitinae,Coptotermes_testaceus,NA,1,2Ba,MZUSP,,#Solo,,,,,,Coptotermes testaceus
13,12/1/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",2,JP,T2,P6,4000,Terrestre,8955206,350943,,Rhinotermitidae,Coptotermitinae,Coptotermes_testaceus,NA,1,3Aa,MZUSP,,#Dentro de tronco ca�do,,,,,,Coptotermes testaceus
14,10/3/2012,"""Teot�nio, Porto Velho, RO""",7,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Coptotermitinae,Coptotermes_testaceus,NA,1,4Aa,MZUSP,,#Interior de tronco,,,,,,Coptotermes testaceus
15,2/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Aa,MZUSP,,#Em tronco ca�do,,,,,,Dolichorhinotermes latilabrum
