codigo,Municipio,Modulo,Transecto,Parcela,Altitude,Inclinação,P,K,Ca+Mg,Ca,Mg,N,M.O,Areia,Silte,Argila,DAP
TE-T1-0,Teotônio,TE,T1,0,107,-1.42,0.4,22,0.35,0.2,0.15,2200,26,220,75,705,
TE-T1-500,Teotônio,TE,T1,500,107,3.8,1.5,30,0.4,0.25,0.15,300,20,188,104,708,
TE-T1-2000,Teotônio,TE,T1,2000,79,-1.58,0.8,19,0.28,0.12,0.16,1700,30,170,78,752,
TE-T1-4000,Teotônio,TE,T1,4000,100,2,0.2,15,0.15,0.1,0.05,1500,22,300,90,610,
TE-T1-5000,Teotônio,TE,T1,5000,96,1917,1.3,25,0.5,0.17,0.33,2700,17,195,60,745,
TE-T2-0,Teotônio,TE,T2,0,111,,,,,,,,,,,,
TE-T2-500,Teotônio,TE,T2,500,112,,,,,,,,,,,,
TE-T2-1000,Teotônio,TE,T2,1000,76,,,,,,,,,,,,
TE-T2-2000,Teotônio,TE,T2,2000,99,,,,,,,,,,,,
TE-T2-3000,Teotônio,TE,T2,3000,105,,,,,,,,,,,,
TE-T2-4000,Teotônio,TE,T2,4000,,,,,,,,,,,,,
TE-T2-5000,Teotônio,TE,T2,5000,92,,,,,,,,,,,,
IB-T1-0,Ilha do Búfalo,IB,T1,0,,,,,,,,,,,,,
IB-T1-500,Ilha do Búfalo,IB,T1,500,,,,,,,,,,,,,
IB-T1-1000,Ilha do Búfalo,IB,T1,1000,,,,,,,,,,,,,
IB-T1-2000,Ilha do Búfalo,IB,T1,2000,,,,,,,,,,,,,
IB-T1-3000,Ilha do Búfalo,IB,T1,3000,,,,,,,,,,,,,
IB-T1-4000,Ilha do Búfalo,IB,T1,4000,,,,,,,,,,,,,
IB-T1-5000,Ilha do Búfalo,IB,T1,5000,,,,,,,,,,,,,
IB-T2-0,Ilha do Búfalo,IB,T2,0,,,,,,,,,,,,,
IB-T2-500,Ilha do Búfalo,IB,T2,500,,,,,,,,,,,,,
IB-T2-1000,Ilha do Búfalo,IB,T2,1000,,,,,,,,,,,,,
IB-T2-2000,Ilha do Búfalo,IB,T2,2000,,,,,,,,,,,,,
IB-T2-3000,Ilha do Búfalo,IB,T2,3000,,,,,,,,,,,,,
IB-T2-4000,Ilha do Búfalo,IB,T2,4000,,,,,,,,,,,,,
IB-T2-5000,Ilha do Búfalo,IB,T2,5000,,,,,,,,,,,,,
IP-T1-0,Ilha da Pedra,IP,T1,0,77,-2.92,1.4,30,0.17,0.13,0.04,3200,34,174,120,706,
IP-T1-500,Ilha da Pedra,IP,T1,500,76,0.25,0.1,38,0.33,0.18,0.15,2900,56,195,84,721,
IP-T1-1000,Ilha da Pedra,IP,T1,1000,98,0.75,1.2,36,0.36,0.15,0.21,3050,36,205,90,705,
IP-T1-2000,Ilha da Pedra,IP,T1,2000,81,-2.08,0.7,41,0.55,0.2,0.35,2900,42,220,70,710,
IP-T1-3000,Ilha da Pedra,IP,T1,3000,97,-0.33,0.3,50,0.7,0.4,0.3,2700,50,234,75,691,
IP-T1-4000,Ilha da Pedra,IP,T1,4000,94,-4.58,0.2,19,0.24,0.17,0.07,2800,58,208,80,712,
IP-T1-5000,Ilha da Pedra,IP,T1,5000,102,-0.67,0.4,40,0.1,0.08,0.02,1800,30,187,90,723,
IP-T2-0,Ilha da Pedra,IP,T2,0,76,-2.33,1.1,28,0.33,0.2,0.13,3500,36,305,102,593,
IP-T2-500,Ilha da Pedra,IP,T2,500,91,-1.08,0.7,26,0.23,0.05,0.18,3620,27,290,130,580,
IP-T2-1000,Ilha da Pedra,IP,T2,1000,96,1.75,1.4,30,0.28,0.15,0.13,2800,28,320,88,592,
IP-T2-2000,Ilha da Pedra,IP,T2,2000,95,-2.58,1.6,17,0.4,0.27,0.13,3600,30,311,91,598,
IP-T2-3000,Ilha da Pedra,IP,T2,3000,113,-1.17,0.9,15,0.5,0.18,0.32,1700,34,280,78,642,
IP-T2-4000,Ilha da Pedra,IP,T2,4000,96,-1.92,0.5,20,0.18,0.1,0.08,4000,25,317,96,587,
IP-T2-5000,Ilha da Pedra,IP,T2,5000,102,2.50,0.9,34,0.25,0.11,0.14,1870,22,275,78,647,
JP-T1-0,Jaci,JP,T1,0,110,-0.75,1.2,18,0.42,0.3,0.12,1675,28,314,120,566,
JP-T1-500,Jaci,JP,T1,500,130,-2.08,2.4,36,0.32,0.2,0.12,2500,16,280,180,540,
JP-T1-1000,Jaci,JP,T1,1000,103,-1.25,1.6,40,0.5,0.2,0.3,4020,32,308,160,532,
JP-T1-2000,Jaci,JP,T1,2000,115,-1.08,1.5,25,0.44,0.18,0.26,3780,35,296,150,554,
JP-T1-3000,Jaci,JP,T1,3000,119,-6.50,1.8,27,0.38,0.15,0.23,3600,29,297,114,589,
JP-T1-4000,Jaci,JP,T1,4000,134,-0.58,2,28,0.37,0.23,0.12,2500,17,280,170,550,
JP-T2-0,Jaci,JP,T2,0,108,-0.92,1.1,39,0.38,0.16,0.22,2700,20,270,103,627,
JP-T2-500,Jaci,JP,T2,500,124,-0.50,1.8,42,0.28,0.13,0.15,1890,21,311,190,499,
JP-T2-1000,Jaci,JP,T2,1000,111,-0.25,1.8,41,0.29,0.15,0.14,1880,24,275,145,580,
JP-T2-2000,Jaci,JP,T2,2000,113,-0.92,0.6,45,0.25,0.12,0.13,1050,25,280,166,554,
JP-T2-3000,Jaci,JP,T2,3000,111,-2.50,2,47,0.27,0.1,0.17,1230,30,280,172,548,
JP-T2-4000,Jaci,JP,T2,4000,114,1.50,2,38,0.22,0.11,0.11,3025,18,280,186,534,
JP-T2-5000,Jaci,JP,T2,5000,128,-4.75,1.7,50,0.33,0.15,0.18,1720,25,370,150,480,
JI-T1-0,Jirau E,JI,T1,0,93,-11.92,1.3,56,0.5,0.2,0.3,1450,27,308,166,526,
JI-T1-500,Jirau E,JI,T1,500,199,-13.92,0.5,38,0.7,0.28,0.42,1620,42,225,158,617,
JI-T1-1000,Jirau E,JI,T1,1000,206,12.33,2,60,0.45,0.28,0.17,1665,22,270,185,545,
JI-T1-2000,Jirau E,JI,T1,2000,125,0.92,2,47,0.6,0.27,0.33,1830,24,198,170,632,
JI-T1-3000,Jirau E,JI,T1,3000,114,-1.25,1.8,42,0.5,0.17,0.33,1900,28,175,130,695,
JI-T1-4000,Jirau E,JI,T1,4000,123,2.75,1.3,40,0.52,0.18,0.34,1800,50,204,128,668,
JI-T2-0,Jirau E,JI,T2,0,96,-0.17,0.9,36,0.3,0.18,0.12,1865,30,266,130,604,
JI-T2-500,Jirau E,JI,T2,500,114,-4.25,0.5,45,0.12,0.17,0.25,1865,39,318,190,492,
JI-T2-1000,Jirau E,JI,T2,1000,118,7.42,0.3,32,0.37,0.19,0.18,1900,28,274,145,581,
JI-T2-2000,Jirau E,JI,T2,2000,105,-1.00,0.2,28,0.7,0.25,0.45,1800,32,305,172,523,
JI-T2-3000,Jirau E,JI,T2,3000,106,-1.50,0.8,20,0.55,0.2,0.35,1730,30,320,188,492,
JI-T2-4000,Jirau E,JI,T2,4000,126,1.17,0.4,19,0.7,0.2,0.5,1740,36,317,160,523,
JI-T2-5000,Jirau E,JI,T2,5000,121,-1.92,0.7,32,0.48,0.15,0.33,1730,70,291,170,539,
JI-T2-5000.2,Jirau E,JI,T2,5000,108,-0.25,0.7,43,0.49,0.2,0.29,1930,40,400,120,480,
JID-T1-0,Jirau D,JID,T1,0,95,-3.33,0.9,38,0.44,0.18,0.26,1820,28,205,135,660,
JID-T1-500,Jirau D,JID,T1,500,103,4.42,0.1,44,0.63,0.3,0.33,1300,35,270,80,650,
JID-T1-1000,Jirau D,JID,T1,1000,120,-15.33,0.6,36,0.56,0.25,0.31,1865,27,186,140,674,
JID-T1-2000,Jirau D,JID,T1,2000,131,-4.17,0.5,30,0.72,0.25,0.47,1730,25,202,91,707,
JID-T1-3000,Jirau D,JID,T1,3000,117,-3.58,0.2,41,0.78,0.3,0.48,1693,28,291,99,610,
JID-T1-4000,Jirau D,JID,T1,4000,129,-0.50,0.2,45,0.6,0.15,0.45,991,32,245,103,652,
JID-T1-5000,Jirau D,JID,T1,5000,126,-8.25,0.3,28,0.7,0.19,0.51,1700,33,280,105,615,
JID-T2-0,Jirau D,JID,T2,0,92,-9.67,0.4,24,0.43,0.22,0.21,1800,20,230,106,664,
JID-T2-500,Jirau D,JID,T2,500,87,-1.42,1.8,36,0.5,0.21,0.37,1200,13,199,137,664,
JID-T2-1000,Jirau D,JID,T2,1000,105,9.42,0.5,66,0.48,0.19,0.29,1960,18,292,104,604,
JID-T2-2000,Jirau D,JID,T2,2000,135,-6.58,2.1,26,0.3,0.1,0.2,2050,15,723,96,181,
JID-T2-4000,Jirau D,JID,T2,4000,132,3.5,2.6,82,1.35,0.79,0.61,1700,12,446,101,453,
JID-T2-5000,Jirau D,JID,T2,5000,139,1583,1.3,12,0.82,0.3,0.48,1830,10,384,103,513,
NJ-T3-0,Novo Jaci,NJ,T3,0,,,,,,,,,,,,,
NJ-T3-500,Novo Jaci,NJ,T3,500,,,,,,,,,,,,,
NJ-T3-1000,Novo Jaci,NJ,T3,1000,,,,,,,,,,,,,
NJ-T3-2000,Novo Jaci,NJ,T3,2000,,,,,,,,,,,,,
NJ-T3-3000,Novo Jaci,NJ,T3,3000,,,,,,,,,,,,,
NJ-T3-4000,Novo Jaci,NJ,T3,4000,,,,,,,,,,,,,
NJ-T3-5000,Novo Jaci,NJ,T3,5000,,,,,,,,,,,,,
MO-T1-0,Morrinhos,MO,T1,0,81,0.8333333333,0.6,15,0.69,0.47,0.22,1872,37,395,190,415,4.024
MO-T1-500,Morrinhos,MO,T1,500,82,1.8333333333,1.2,17,0.51,0.3,0.21,1573,32,510,70,420,4.2814814815
MO-T1-1000,Morrinhos,MO,T1,1000,82,-5.1666666667,0.9,19,0.77,0.6,0.17,1902,41,471,59,470,3.2743362832
MO-T1-2000,Morrinhos,MO,T1,2000,77,-0.8666666667,2.4,23,0.69,0.55,0.14,2051,45,420,166,414,4.3858695652
MO-T1-3000,Morrinhos,MO,T1,3000,67,0.1666666667,1.3,26,0.7,0.4,0.3,3224,40,496,134,370,3.706504065
MO-T1-4000,Morrinhos,MO,T1,4000,82,1.3333333333,1.8,33,0.64,0.51,0.13,1994,44,199,110,691,4.013986014
