	Thiago	Renato
1	Acangaobitermes krishinai 	Acangaobitermes_krishinai 
2	Agnathotermes sp. 1	Agnathotermes_glaber
3	Angularitermes coninasus	Angularitermes_coninasus
4	Angularitermes nasutissimus	Angularitermes_nasutissimus
5	Armitermes euamignathus	Armitermes_euamignathus
6	Armitermes holmgreni	Silvestritermes_holmgreni
7	Armitermes minutus	Armitermes_minutus
8	Armitermes peruanus	Armitermes_peruanus
9	Armitermes sp. 1	Armitermes_sp._1T
10	Armitermes teevani	Uncitermes_teevani
11	Atlantitermes oculatissimus	Atlantitermes_oculatissimus
12	Atlantitermes snyderi	Atlantitermes_snyderi
13	Atlantitermes sp. 2	Atlantitermes_sp._2T
14	Atlantitermes sp. 4	Atlantitermes_sp._5
15	Atlantitermes sp. 5	Atlantitermes_sp._9
16	Caetetermes sp. 1	Caetetermes_sp._1
17	Caetetermes taquarussu	Caetetermes_taquarussu
18	Calcaritermes rioensis	Calcaritermes_rioensis
19	Cavitermes rozeni	Cavitermes_rozeni
20	Coatitermes clevelandi	Coatitermes_clevelandi
21	Coatitermes kartaboensis	Coatitermes_kartaboensis
22	Constrictotermes cavifrons	Constrictotermes_cavifrons
23	Convexitermes convexifrons	Convexitermes_convexifrons
24	Coptotermes testaceus	Coptotermes_testaceus
25	Cornicapritermes mucronatus	Cornicapritermes_mucronatus
26	Cornitermes bolivianus	Cornitermes_bolivianus
27	Cornitermes ovatus	Cornitermes_ovatus
28	Cornitermes pilosus	Cornitermes_pilosus
29	Cornitermes pugnax	Cornitermes_pugnax
30	Cornitermes sp. 1	Cornitermes_sp._1T
31	Cornitermes weberi	Cornitermes_weberi
32	Crepititermes verruculosus	Crepititermes_verruculosus
33	Curvitermes odontognathus	Curvitermes_odontognathus
34	Cylindrotermes flangiatus	Cylindrotermes_flangiatus
35	Cylindrotermes parvignathus	Cylindrotermes_parvignathus
36	Cyranotermes karipuna	Cyranotermes_karipuna
37	Cyrilliotermes angulariceps	Cyrilliotermes_angulariceps
38	Dentispicotermes sp. 1	Dentispicotermes_sp._1
39	Dihoplotermes sp. 1	Dihoplotermes_sp._1T
40	Dolichorhinotermes latilabrum	Dolichorhinotermes_latilabrum
41	Dolichorhinotermes sp. 1	Rhinotermes_sp._1
42	Embiratermes ignotus	Embiratermes_ignotus
43	Embiratermes latidens	Embiratermes_latidens
44	Embiratermes neotenicus	Embiratermes_neotenicus
45	Ereymatermes sp. 1	Ereymatermes_sp.1
46	Genuotermes spinifer	Genuotermes_spinifer
47	Glyptotermes sp. 1	Glyptotermes_sp._1
48	Heterotermes tenuis	Heterotermes_tenuis
49	Labiotermes guasu	Labiotermes_guasu
50	Labiotermes labralis	Labiotermes_labralis
51	Labiotermes leptothrix	Labiotermes_leptothrix
52	Labiotermes pelliceus	Labiotermes_pelliceus
53	Labiotermes sp. 1	Labiotermes_sp._1T
54	Microcerotermes sp. 1	Microcerotermes_sp._2
