"","Data","Municipio","Campanha","Modulo","Transecto","Parcela","Ponto","Tipo_de_Parcela","Coordenadas_UTM_.X.","Coordenadas_UTM_.Y.","Ordem","Familia","Subfamilia","Especie","Tipo_Amostragem","Num._Ind._.Colonias.Encontros.","Num._ID_.campo.","Instituicao_para_Tombamento","Tombo","OBS"
"1","6/6/2012","""Três_Praias,_Jaci_Paraná,_Porto_Velho,_RO""",8,"JP","T2","P6",4100,"Terrestre",8955206,350943,NA,"Kalotermitidae","","Calcaritermes rioensis",NA,1,"2Aa","MZUSP","","#Interior de madeira seca (tronco caido no chão) e ninho no interior do mesmo tronco (na base do tronco, perto da raíz)"
"2","12/9/2010","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",1,"IB","T1","P4*",2000,"Terrestre",8990072,335473,NA,"Kalotermitidae","","Glyptotermes sp. 1",NA,1,"1Aa","MZUSP","","#Kalotermitidae dentro de graveto seco caído"
"3","10/6/2011","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",4,"IP","T2","P3",990,"Terrestre",8985957,322373,NA,"Kalotermitidae","","Neotermes sp. 1",NA,1,"3Ca","MZUSP","","#Interior de pedaço de tronco (Kalotermitiade)."
"4","7/3/2012","""Três Praias, Jaci Paraná, Porto Velho, RO""",7,"JP","T2","P2",500,"Terrestre",8954804,347396,NA,"Kalotermitidae","","Neotermes sp. 1",NA,1,"4Ba","MZUSP","","#Interior e em baixo de casca de tronco grande"
"5","17/09/10","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",1,"JI","T1","P5*",3000,"Terrestre",8971309,308582,NA,"Kalotermitidae","","Rugitermes sp. 1",NA,1,"1Ba","MZUSP","","#Dentro de graveto"
"6","1/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P4",2000,"Terrestre",8989521,336332,NA,"Kalotermitidae","","Rugitermes sp. 2",NA,1,"1Ca","MZUSP","","#Interior de tronco"
"7","21/11/11","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",6,"IP","T2","P4",1885,"Terrestre",8986754,321877,NA,"Kalotermitidae","","Rugitermes sp. 2",NA,1,"1Aa","MZUSP","","#Interior de tronco seco carcomido"
"8","19/11/11","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",6,"IB","T2","P5",3000,"Terrestre",8990336,336964,NA,"Rhinotermitidae","","Coptotermes testaceus",NA,1,"1Ba","MZUSP","","#Ninho crostado no tronco da arvore (+ou- 50 cm de altura)"
"9","19/11/11","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",6,"IB","T2","P5",3000,"Terrestre",8990336,336964,NA,"Rhinotermitidae","","Coptotermes testaceus",NA,1,"3Aa","MZUSP","","#Interior de tronco podre "
"10","8/4/2011","""Três Praias, Jaci Paraná, Porto Velho, RO""",3,"JP","T2","P3",1050,"Terrestre",8954868,347940,NA,"Rhinotermitidae","","Coptotermes testaceus",NA,1,"2Ca","MZUSP","","#Em gravetos e tronco"
"11","9/9/2011","""Três Praias, Jaci Paraná, Porto Velho, RO""",5,"JP","T2","P4",2050,"Terrestre",8954964,348933,NA,"Rhinotermitidae","","Coptotermes testaceus",NA,1,"2Aa","MZUSP","","#Interior de tronco caído"
"12","6/3/2012","""Três Praias, Jaci Paraná, Porto Velho, RO""",7,"JP","T2","P4",2050,"Terrestre",8954964,348933,NA,"Rhinotermitidae","","Coptotermes testaceus",NA,1,"2Ba","MZUSP","","#Solo"
"13","12/1/2011","""Três Praias, Jaci Paraná, Porto Velho, RO""",2,"JP","T2","P6",4100,"Terrestre",8955206,350943,NA,"Rhinotermitidae","","Coptotermes testaceus",NA,1,"3Aa","MZUSP","","#Dentro de tronco caído"
"14","10/3/2012","""Teotônio, Porto Velho, RO""",7,"TE","T2","P5",3000,"Terrestre",9024570,380983,NA,"Rhinotermitidae","","Coptotermes testaceus",NA,1,"4Aa","MZUSP","","#Interior de tronco"
"15","2/4/2011","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",3,"IB","T2","P1",0,"Terrestre",8988015,334967,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"3Aa","MZUSP","","#Em tronco caído"
"16","1/4/2011","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",3,"IB","T2","P3",1000,"Terrestre",8988753,335582,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Ba","MZUSP","","#No solo"
"17","1/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P3",1000,"Terrestre",8988753,335582,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"4Ac","MZUSP","","#Interior de tronco"
"18","13/09/10","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",1,"IB","T1","P3*",1000,"Terrestre",8989318,334775,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"1Ab","MZUSP","","#Forrageando no solo"
"19","1/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P4",2000,"Terrestre",8989521,336332,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"4Ab","MZUSP","","#Base de tronco morto em pé, e em galerias no troco. Heterotermes e Dolichorhino em folha de palmeira"
"20","1/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P5",3000,"Terrestre",8990336,336964,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Aa","MZUSP","","#Interior de graveto"
"21","10/6/2011","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",4,"IP","T2","P3",990,"Terrestre",8985957,322373,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Ab","MZUSP","","#Interior de galho morto."
"22","12/4/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",3,"JI","T2","P1",0,"Terrestre",8970098,3111182,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"3Bb","MZUSP","","#No tronco de árvore"
"23","4/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P2",500,"Terrestre",8970473,310831,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Aa","MZUSP","","#Tronco morto podre no solo."
"24","4/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P2",500,"Terrestre",8970473,310831,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"4Ba","MZUSP","","#Folha morta de palmeira."
"25","10/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P3",1000,"Terrestre",8970820,310485,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"1Ba","MZUSP","","#Em tronco caído e em solo logo abaixo"
"26","11/4/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",3,"JI","T2","P4",2000,"Terrestre",8971554,309787,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Ab","MZUSP","","#Em tronco caído"
"27","11/4/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",3,"JI","T2","P4",2000,"Terrestre",8971554,309787,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"4Ca","MZUSP","","#Em madeira caída"
"28","9/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P5",3000,"Terrestre",8972272,309067,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"1Ca","MZUSP","","#Em tronco caído"
"29","11/4/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",3,"JI","T2","P5",3000,"Terrestre",8972272,309067,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Bc","MZUSP","","#Em tronco"
"30","3/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P5",3000,"Terrestre",8972272,309067,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"1Ca","MZUSP","","#Galho podre com galerias na parte interna."
"31","7/3/2012","""Três Praias, Jaci Paraná, Porto Velho, RO""",7,"JP","T2","P1",0,"Terrestre",8954694,346904,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"3Ca","MZUSP","","#Solo"
"32","7/6/2012","""Três Praias, Jaci Paraná, Porto Velho, RO""",8,"JP","T2","P1",0,"Terrestre",8954694,346904,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"3Bb","MZUSP","","#Interior de tronco grande caído"
"33","14/06/11","""Três Praias, Jaci Paraná, Porto Velho, RO""",4,"JP","T2","P3",1050,"Terrestre",8954868,347940,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Aa","MZUSP","","#Haste de folha de palmeira morta."
"34","24/11/11","""Três Praias, Jaci Paraná, Porto Velho, RO""",6,"JP","T2","P3",1050,"Terrestre",8954868,347940,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"4Ab","MZUSP","","#Interior de tronco podre"
"35","6/3/2012","""Três Praias, Jaci Paraná, Porto Velho, RO""",7,"JP","T2","P4",2050,"Terrestre",8954964,348933,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"3Aa","MZUSP","","#Interior de tronco (Dolichorhino)"
"36","20/09/10","""Três Praias, Jaci Paraná, Porto Velho, RO""",1,"JP","T2","P5",3000,"Terrestre",8955078,349875,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"3Ab","MZUSP","","#Dentro de tronco caído"
"37","7/1/2011","""Morrinhos, Jaci Paraná, Porto Velho, Rondônia""",2,"MO","T1","P3",950,"Terrestre",9001745,362372,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"1Ba","MZUSP","","#Em tronco caído e forrageando no solo proximo a raíz de palmeira e tronco caído"
"38","8/1/2011","""Morrinhos, Jaci Paraná, Porto Velho, Rondônia""",2,"MO","T1","P5",3000,"Terrestre",8999736,362810,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"2Ab","MZUSP","","#Em galhinho caído no chão"
"39","22/09/10","""Teotônio, Porto Velho, RO""",1,"TE","T2","P2",500,"Terrestre",9022865,382824,NA,"Rhinotermitidae","","Dolichorhinotermes latilabrum",NA,1,"4Ab","MZUSP","","#Forrageando no solo"
