data,Município,Campanha,Módulo,Transecto,Parcela,Ponto,Tipo de Parcela,Coordenadas UTM (X),Coordenadas UTM (Y),Ordem,Família,Subfamília,Espécie,Tipo Amostragem,Núm. Ind. (Colônias/Encontros),Núm.ID (campo),Instituição para Tombamento,Tombo,OBS
21/01/2013,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",9,IB,T2,P6,4000,Terrestre,8991071,337699,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
26/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P4,2000,Terrestre,8960326,346707,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
20/01/2013,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",9,IB,T2,P1,0,Terrestre,8988015,334967,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
25/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P2,490,Terrestre,8954804,347396,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
25/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P1,0,Terrestre,8960718,348667,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
20/01/2013,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",9,IB,T2,P1,0,Terrestre,8988015,334967,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
25/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P1,0,Terrestre,8954694,346904,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
29/01/2013,"Teotônio, Porto Velho, RO",9,TE,T2,P6,4000,Terrestre,9025040,380111,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
29/01/2013,"Teotônio, Porto Velho, RO",9,TE,T2,P6,4000,Terrestre,9025040,380111,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
19/01/2013,"Ilha das Pedras, Jaci Paraná, Porto Velho, RO",9,IP,T2,P6,4000,Terrestre,8991071,337699,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
19/01/2013,"Ilha das Pedras, Jaci Paraná, Porto Velho, RO",9,IP,T2,P4,2000,Terrestre,8989521,336332,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 7,,1,,INPA,,
26/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P5,3000,Terrestre,8960128,345726,Isoptera,Termitidae,Apicotermitinae,Anoplotermes sp. 8,,1,,INPA,,
