"","M_I_Bufalo","M_I_Pedra","M_J_Parana","M_Novo","M_Teotonio"
"Anoplotermes_sp._5",1,1,1,0,0
"Anoplotermes_sp._8",1,1,1,1,1
"Aparatermes_sp._10",0,0,0,1,0
"Aparatermes_sp._11",1,0,1,0,0
"Aparatermes_sp._12",0,1,0,1,0
"Aparatermes_sp._13",0,0,1,1,0
"Aparatermes_sp._5",1,0,0,0,0
"Aparatermes_sp._7",1,1,1,1,1
"Aparatermes_sp._8",0,0,1,0,0
"Aparatermes_sp._9",0,0,1,0,1
"Atlantitermes_sp._1",0,0,0,1,1
"Calcaritermes_sp._2",0,1,0,0,0
"Convexitermes_convexifrons",0,0,1,0,0
"Coptotermes_testaceus",1,1,0,1,0
"Cornicapritermes_mucronatus",1,0,1,0,0
"Cornitermes_ovatus",1,1,1,0,0
"Cornitermes_pugnax",0,0,0,1,1
"Cornitermes_sp._1",0,0,1,1,0
"Cornitermes_sp._2",0,1,0,0,0
"Crepititermes_verruculosus",0,0,0,0,1
"Cylindrotermes_flangiatus",0,0,1,1,0
"Cylindrotermes_parvignathus",1,1,1,1,0
"Cyrilliotermes_angulariceps",0,0,1,1,0
"Dentispicotermes_sp._2",0,0,0,0,1
"Dolichorhinotermes_longilabius",1,1,1,0,1
"Embiratermes_ignotus",0,0,1,1,1
"Embiratermes_neotenicus",0,1,1,1,1
"Embiratermes_sp._1",0,0,0,0,1
"Grigiotermes_sp._10",0,0,1,0,0
"Grigiotermes_sp._4",0,0,0,0,1
"Grigiotermes_sp._9",0,0,0,0,1
"Heterotermes_tenuis",0,0,1,1,1
"Labiotermes_sp._1",0,0,1,0,0
"Microcerotermes_sp.2",0,0,0,1,0
"Nasutitermes_banksi",1,1,1,1,0
"Nasutitermes_callimorphus",0,0,1,0,0
"Nasutitermes_corniger",0,1,0,0,0
"Nasutitermes_ephratae",0,0,1,1,0
"Nasutitermes_gaigei",0,0,0,0,1
"Nasutitermes_guayanae",1,1,1,1,1
"Nasutitermes_peruanus",1,0,0,0,0
"Nasutitermes_sp._15",1,0,0,0,0
"Nasutitermes_sp._18",0,0,0,1,0
"Nasutitermes_sp._3",0,0,0,1,0
"Nasutitermes_sp._4",0,1,0,0,0
"Neocapritermes_sp._1",0,1,1,1,1
"Neocapritermes_sp._2",1,1,0,0,1
"Neocapritermes_sp._3",0,0,1,0,0
"Neocapritermes_talpa",0,0,1,0,0
"Neocapritermes_taracua",0,0,1,0,0
"Neocapritermes_unicornis",0,1,0,0,0
"Neocapritermes_utiatiti",0,0,0,0,1
"Planicapritermes_planiceps",1,1,1,1,1
"Rhinotermes_marginalis",0,0,0,1,1
"Rhinotermes_sp._1",0,1,0,0,1
"Ruptitermes_arboreus",0,1,1,0,0
"Ruptitermes_sp._11",1,1,1,1,1
"Ruptitermes_sp._13",0,0,1,1,0
"Ruptitermes_sp._14",0,0,1,1,0
"Ruptitermes_sp._5",0,1,1,0,0
"Ruptitermes_sp._6",0,1,1,1,0
"Ruptitermes_sp._8",1,1,1,1,0
"Silvestritermes_holmgreni",0,1,1,0,1
"Silvestritermes_sp.1",1,0,0,1,0
"Subulitermes_microsoma",0,1,0,1,0
"Syntermes_molestus",1,0,1,1,1
"Syntermes_sp._1",0,0,0,1,0
"Syntermes_sp._2",0,0,1,0,0
"Syntermes_spinosus",1,0,1,0,1
"Termes_sp._1",0,0,1,0,0
"Tetimatermes_sp._2",0,0,0,1,0
"Triangularitermes_triangulariceps",0,1,0,1,1
