Módulo,Distância,Inclinação,Altitude,P,K,Ca+Mg,Ca,Mg,N,M.O,Areia,Silte,Argila,Dap Médio,,,,,,,,,,,
Ilha do Búfalo,0,-0.92,101,1.4,17,0.21,0.17,0.04,3500,58,193,117,690,3.0828125,,,,,,,,,,,
Ilha do Búfalo,500,-2.08,82,1.6,22,0.3,0.17,0.13,2075,28,185,193,622,3.532911392,,,,,,,,,,,
Ilha do Búfalo,1000,-0.33,113,1.2,20,0.18,0.12,0.06,4100,45,188,108,704,3.124324324,,,,,,,,,,,
Ilha do Búfalo,2000,-0.75,96,1.7,24,0.4,0.24,0.16,1670,19,166,130,704,3.356521739,,,,,,,,,,,
Ilha do Búfalo,3000,0.417,93,2,27,0.5,0.3,0.2,2900,13,193,166,641,3.8,,,,,,,,,,,
Ilha do Búfalo,4000,-2,86,1.8,28,0.37,0.28,0.09,1800,19,199,175,626,3.9,,,,,,,,,,,
Teotônio,0,0.25,111,0.7,27,0.34,0.11,0.23,1500,24,215,62,723,3.190677966,,,,,,,,,,,
Teotônio,500,-3,112,1.4,32,0.52,0.3,0.22,2800,25,190,77,733,3.620666667,,,,,,,,,,,
Teotônio,1000,1.5,76,0.2,60,0.3,0.13,0.19,2900,28,186,62,752,2.890839695,,,,,,,,,,,
Teotônio,2000,1.833,99,1.8,42,0.38,0.15,0.23,4000,17,179,70,751,2.545679012,,,,,,,,,,,
Teotônio,3000,-2.67,105,1.6,37,0.45,0.22,0.23,3700,19,188,75,737,2.960176991,,,,,,,,,,,
Jirau ME,0,-0.17,96,0.9,36,0.3,0.18,0.12,1865,30,266,130,604,3.438181818,,,,,,,,,,,
Jirau ME,500,-4.25,114,0.5,45,0.12,0.17,0.25,1865,39,318,190,492,3.78028169,,,,,,,,,,,
Jirau ME,1000,7.42,118,0.3,32,0.37,0.19,0.18,1900,28,274,145,581,3.506382979,,,,,,,,,,,
Jirau ME,2000,-1.00,105,0.2,28,0.7,0.25,0.45,1800,32,305,172,523,2.24972067,,,,,,,,,,,
Jirau ME,3000,-1.50,106,0.8,20,0.55,0.2,0.35,1730,30,320,188,492,4.396923077,,,,,,,,,,,
Jirau ME,4000,1.17,126,0.4,19,0.7,0.2,0.5,1740,36,317,160,523,2.969014085,,,,,,,,,,,
Jaci Paraná MD,0,-0.92,108,1.1,39,0.38,0.16,0.22,2700,20,270,103,627,3.10797546,,,,,,,,,,,
Jaci Paraná MD,500,-0.50,124,1.8,42,0.28,0.13,0.15,1890,21,311,190,499,2.993103448,,,,,,,,,,,
Jaci Paraná MD,1000,-0.25,111,1.8,41,0.29,0.15,0.14,1880,24,275,145,580,3.133333333,,,,,,,,,,,
Jaci Paraná MD,2000,-0.92,113,0.6,45,0.25,0.12,0.13,1050,25,280,166,554,3.597368421,,,,,,,,,,,
Jaci Paraná MD,3000,-2.50,111,2,47,0.27,0.1,0.17,1230,30,280,172,548,2.884302326,,,,,,,,,,,
Jaci Paraná MD,4000,1.50,114,2,38,0.22,0.11,0.11,3025,18,280,186,534,2.899793388,,,,,,,,,,,
Morrinhos,0,0.833333333,81,0.6,15,0.69,0.47,0.22,1872,37,395,190,415,4.024,,,,,,,,,,,
Morrinhos,500,1.833333333,82,1.2,17,0.51,0.3,0.21,1573,32,510,70,420,4.281481481,,,,,,,,,,,
Morrinhos,1000,-5.166666667,82,0.9,19,0.77,0.6,0.17,1902,41,471,59,470,3.274336283,,,,,,,,,,,
Morrinhos,2000,-0.866666667,77,2.4,23,0.69,0.55,0.14,2051,45,420,166,414,4.385869565,,,,,,,,,,,
Morrinhos,3000,0.166666667,67,1.3,26,0.7,0.4,0.3,3224,40,496,134,370,3.706504065,,,,,,,,,,,
Morrinhos,4000,1.333333333,82,1.8,33,0.64,0.51,0.13,1994,44,199,110,691,4.013986014,,,,,,,,,,,
pedras,0,-2.33,76,1.1,28,0.33,0.2,0.13,3500,36,305,102,593,4.3,,,,,,,,,,,
pedras,500,-1.08,91,0.7,26,0.23,0.05,0.18,3620,27,290,130,580,35.15,,,,,,,,,,,
pedras,1000,1.75,96,1.4,30,0.28,0.15,0.13,2800,28,320,88,592,3.6,,,,,,,,,,,
pedras,2000,-2.58,95,1.6,17,0.4,0.27,0.13,3600,30,311,91,598,12.1,,,,,,,,,,,
pedras,3000,-1.17,113,0.9,15,0.5,0.18,0.32,1700,34,280,78,642,3.53,,,,,,,,,,,
pedras,4000,-1.92,96,0.5,20,0.18,0.1,0.08,4000,25,317,96,587,2.7,,,,,,,,,,,
